pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Cómo se llama el villano principal en la trilogía original de *Star Wars*?,Darth Vader,Palpatine,Kylo Ren,Darth Maul,1
¿Qué serie animada cuenta las aventuras de un científico loco y su nieto?,Futurama,Rick y Morty,Los Simpson,Family Guy,2
¿En qué serie aparece un grupo de niños resolviendo misterios en Hawkins?,The OA,Dark,Stranger Things,Locke & Key,3
¿Qué actor interpretó a Tony Stark?,Chris Hemsworth,Mark Ruffalo,Chris Evans,Robert Downey Jr.,4
¿Cómo se llama el anillo de poder en *El Señor de los Anillos*?,Anillo Único,Anillo de Sauron,Anillo del Destino,Anillo de la Oscuridad,1
¿Qué actor interpretó al Joker en *The Dark Knight*?,Joaquin Phoenix,Jared Leto,Heath Ledger,Jack Nicholson,3
¿Qué serie animada tiene como protagonista a un chico con una espada mágica en el Reino de Ooo?,Gravity Falls,Hora de Aventura,Steven Universe,Ben 10,2
¿Qué película de Pixar se centra en las emociones dentro de la mente de una niña?,Intensamente,Valiente,Coco,Toy Story,1
¿Qué personaje de *Friends* trabaja en un café llamado Central Park?,Phoebe,Rachel,Joey,Chandler,2
¿En qué película aparece el personaje de Jack Dawson?, Titanic, Avatar, The Revenant, Inception, 1
¿Cómo se llama la hermana de Elsa en Frozen?, Anna, Olivia, Mia, Elsa, 1
¿Qué actor interpretó a Neo en The Matrix?, Keanu Reeves, Brad Pitt, Tom Cruise, Johnny Depp, 1
¿Cuál es el nombre del profesor de magia en Harry Potter que enseña Defensa Contra las Artes Oscuras?, Severus Snape, Albus Dumbledore, Remus Lupin, Gilderoy Lockhart, 3
¿En qué película de Marvel aparece el personaje de Doctor Strange?, Guardians of the Galaxy, Spider-Man: Homecoming, Doctor Strange, Iron Man 3, 3
¿Qué villano de Disney tiene como mascota a un halcón llamado Iago?, Scar, Jafar, Maleficent, Hades, 2
¿Qué famoso científico aparece en la serie The Big Bang Theory como él mismo?, Albert Einstein, Neil deGrasse Tyson, Stephen Hawking, Carl Sagan, 3
¿Qué serie de Netflix cuenta la historia de un joven que viaja en el tiempo para salvar a su madre?, Dark, Stranger Things, The Umbrella Academy, The Society, 1
¿Qué superhéroe de Marvel puede volar gracias a un traje tecnológico?, Iron Man, Spider-Man, Thor, Black Panther, 1
¿Cómo se llama el perro de Snoopy?, Spike, Woodstock, Charlie Brown, Rover, 1
¿Qué película protagonizada por Leonardo DiCaprio tiene lugar en un tren?, El Origen, El Gran Gatsby, Inception, The Revenant, 3
¿Qué superhéroe de DC Comics es conocido como el "caballero oscuro"?, Batman, Superman, Green Lantern, Aquaman, 1
¿Qué serie se desarrolla en un hospital llamado Sacred Heart?, Scrubs, House, Grey’s Anatomy, ER, 1
¿Quién es el protagonista de la saga Indiana Jones?, Harrison Ford, Tom Hanks, Bruce Willis, Sean Connery, 1
¿En qué serie de televisión aparece el personaje de Sheldon Cooper?, The Big Bang Theory, How I Met Your Mother, Friends, The Office, 1
¿Qué película de terror tiene como protagonistas a una familia que es acosada por una presencia sobrenatural en su casa?, El Conjuro, La Casa del Terror, El Exorcista, Annabelle, 1
¿Cómo se llama el primer libro de La trilogía de los juegos del hambre?, Los Juegos del Hambre, En Llamas, Sinsajo, Catching Fire, 1
¿Quién dirigió la película Jurassic Park?, Steven Spielberg, James Cameron, Ridley Scott, George Lucas, 1
¿Qué actor interpretó a Jack Sparrow en Piratas del Caribe?, Johnny Depp, Orlando Bloom, Brad Pitt, Tom Hanks, 1
¿Cuál es el nombre del líder de los X-Men en las películas de X-Men?, Wolverine, Cyclops, Professor X, Magneto, 3
¿Cómo se llama el mundo de Avatar?, Pandora, Narnia, Tierra, Wakanda, 1
¿Qué película trata sobre un extraterrestre llamado E.T.?, Encuentros Cercanos del Tercer Tipo, E.T. el Extraterrestre, Men in Black, The X-Files, 2
¿En qué película de Disney aparece un pez llamado Nemo?, Buscando a Nemo, Bajo el Mar, Pocahontas, La Sirenita, 1
¿Qué personaje de Star Wars es conocido por decir 'May the Force be with you'?, Luke Skywalker, Yoda, Han Solo, Darth Vader, 2
¿En qué serie se encuentra el personaje de Jim Halpert?, The Office, Friends, Parks and Recreation, How I Met Your Mother, 1
¿Qué superhéroe tiene el poder de controlar el clima?, Storm, Wonder Woman, Black Widow, Jean Grey, 1
¿Cuál es el nombre del villano en el Rey León?, Scar, Jafar, Maleficent, Ursula, 1
¿Qué actor interpretó a Han Solo en la trilogía original de Star Wars?, Harrison Ford, Mark Hamill, Alec Guinness, Anthony Daniels, 1
